기업명,키워드,로고,카테고리,신입연봉,평균연봉,주소,사원수,홈페이지,기업형태,매출액_별도,매출액_연결,사업현황
라인파이낸셜,#주요계열사,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/JB0009.jpg,솔루션·SI·CRM·ERP,"4,807만원","6,226만원","경기 성남시 분당구 분당내곡로 117, 7층 지도",64명,,대기업,234억,"2,379억","2018년에 설립된 라인파이낸셜플러스는 네이버의 금융분야 자회사로, 일본 가상화폐 사업 진출을 시작으로 계열사인 '라인'의 글로벌 금융 플랫폼 서비스를 개발 및 운영하고 있는 핀테크 전문기업이다. 특히 당사는 결제 및 금융서비스를 중심으로 사업을 영위하고 있다.

최근 라인파이낸셜플러스는 태국, 대만, 인도네시아에서 모바일 뱅킹 서비스를 출시하여 핀테크 서비스를 확장 중이다. 대표적으로 태국 모바일 뱅킹 플랫폼 ‘라인BK’, 대만의 인터넷 은행 ‘라인뱅크’, 인도네시아의 모바일 뱅킹 서비스 ‘라인뱅크’ 등을 제공하며 글로벌 경쟁력을 강화하고 있다.

라인파이낸셜플러스는 ‘개발자 채용 챌린지’를 진행하는 등 선제적인 인재 확보에 나서고 있으며 앞으로도 '내 손 안의 금융' 미션을 바탕으로 사용자가 보다 편리한 금융 서비스를 경험할 수 있도록 역량을 강화해나갈 계획이다."
하이디어,,https://imgorg.catch.co.kr/job/site/tmp02.gif,,"4,791만원",,"경기 성남시 분당구 대왕판교로645번길 14 (삼평동,네오위즈판교타워) 지도",42명,,중소기업,232억,,
지엠티,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/220931.jpg,,"3,979만원",,"경기 성남시 분당구 판교로255번길 9-22, 7층 711호,712호,713호,714호 지도",135명,http://www.gmtc.kr/,중소기업,231억,,
엔셀,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/690568.jpg,,"3,357만원",,"경기 성남시 분당구 성남대로 393, A동 205호 지도",141명,http://www.enssel.com/,중소기업,231억,,"2007년 설립된 엔셀은 스마트팩토리 및 AI(인공지능) 전문기업이다. 반도체 산업 공정 설비 관련 시스템을 개발하여 공급해왔으며, 2013년부터는 스마트 팩토리 사업분야에 필요한 솔루션을 출시 및 미국, 중국, 베트남등의 해외진출도 시작했다. 2020년부터는 기존 스마트팩토리 사업 기반 인공지능 솔루션을 개발해 공급하고 있다.

엔셀의 대표 사업으로는 스마트팩토리, 인공지능, 반도체장비 분야가 있다. 당사는 공장 내의 생산과 품질을 한눈에 보여주는 시스템인 '스마트팩토리'에서 제조관리시스템 MES, 품질관리 시스템 QMS, 설비관리시스템 EES, 수율관리시스템 YMS 서비스를 제공한다. 그 중, 자사의 통합모듈형 스마트팩토리 플랫폼 '지니(JINI)'는 구축 효율이 높아 높은 매출을 견인하는 제품이다. '인공지능' 분야에서는 기존의 문자판독 시스템에 AI기술을 접목한 '인공지능 OCR', 신속한 Defect 검출 및 불량 판정이 가능한 '인공지능 머신비전', 다양한 데이터를 수집 및 가공하는 인공지능 '빅데이터분석' 서비스를 제공한다. 당사는 INNOLAS, E+H, CHA, MICROSANJ 의 '반도체장비' 도 공급하고 있다. 더불어, 엔셀은 2023년 EM사업부를 청주로 확장하는등 지속적인 성장을 보이고 있다."
엠디에스인텔리전스,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/LI6247.jpg,,"3,691만원","4,650만원","경기 성남시 분당구 판교로228번길 17, 1동 901호 (삼평동,판교세븐벤처밸리2) 지도",80명,http://www.mdsit.co.kr/,중견기업,230억,,"엠디에스인텔리전스는 2020년 설립된 안전, 보안 종합 솔루션 회사이다. 당사는 2021년 HY-Check ─ 2021 WITSA(세계정보서비스산업기구) Global ICT Awards 스마트시티(공공부문) Merit Award Winner를, 2022년 HY-Check, CES 2022 Innovation Award를 수상하며 품질을 인정받았다. 엠디에스인텔리전스의 파트너사로는 LX인터네셔널, PFP 등이 있으며 고객사로는 카카오뱅크, TOSS, Kbank, 한국은행 등 유수의 기업들이 있다.

엠디에스인텔리전스의 사업분야는 시스템&소프트웨어 개발, 사이버보안, 암호키 관리 및 기기인증, 지능형 사물인터넷, 디지털 트윈이다. 시스템&소프트웨어 개발 시 프로세스, 요구사항 등을 분석 및 관리하며 사이버 보안 분야에서는 UNECE 규정 준수를 위한 사이버보안 관리시스템을 구축한다. 암호키 관리 및 기기인증 시에는 차량용 암호키를 생산하고 주입하며, 기기인증 관리를 수행한다. 지능형 사물인터넷 분야에서는 원격으로 출입관리, 펌웨어 업데이트, 수질 모니터링 등을 해 편의성을 높인다. 또한 디지털 트윈 분야에서는 영상분석, 디지털 트윈 통합관리를 진행한다.

엠디에스인텔리전스는 일본의 회사 소프트뱅크와 MOU를 체결했다. 이는 AIoT 솔루션을 글로벌로 공급하고 일본 소프트뱅크의 글로벌 USIM 서비스 '1NCE(원스)'를 국내에서 서비스하는 것과 관련한 업무협약으로, 양사는 글로벌 IoT 시장에서의 경쟁력을 확보하고 업역을 확대할 것으로 보인다."
케이엠파킹앤스페이스,#주요계열사,https://imgorg.catch.co.kr/job/site/tmp02.gif,솔루션·SI·CRM·ERP,"4,854만원",,"경기 성남시 분당구 판교역로 152, 13층 (백현동,알파돔타워) 지도",49명,https://www.kmpns.com/,대기업,229억,,"케이엠파킹앤스페이스는 2022년 카카오모빌리티의 자회사로 출범했다. 당사는 비대면 시대에 발맞추어 데이터 인프라를 구축하고 관리하여, 모바일 주차 서비스(Connected Parking)를 구현하였으며, 전국 1,600여개의 주차장과 제휴가 되어 있다. 또한, 케이엠파킹앤스페이스는 카카오 T에서 주차장 홍보 서비스와 모바일 자동 정산 시스템을 제공 중이다..

케이엠파킹앤스페이스의 사업영역은 주차 통합 서비스와 기타 서비스로 나눠진다. 당사는 주차장 운영에 필요한 솔루션을 제공하고, 안드로이드 기반의 주차 관제 설비를 관리하는 역할을 한다. 또한, 주차장 데이터를 분석하며, 카카오T 플랫폼과 연계한 대리 주차, 보험 서비스를 내세우고 있다. 이외에도, 당사는 임차인 등 외부인을 대상으로 한 주차 관련 서비스와 건물 간 물류 서비스. 공간 컨텐츠 사업으로 부가 가치를 창출하고 있다."
모아데이타,,https://imgorg.catch.co.kr/job/site/tmp02.gif,,"5,291만원",,"경기 성남시 수정구 달래내로 46, 810호 (시흥동,성남글로벌융합센터) 지도",73명,http://www.moadata.co.kr/,중소기업,226억,245억,"2014년 3월에 설립된 모아데이타는 디지털 헬스케어 전문 기업이다. 최근 2023년 3월 모아데이타는 AI 산업의 성장과 함께 페타온 포스터 중심의 성장 전략을 강화하고 있다. 또 2023년 1월에 인수한 건강데이터 분석 기업 메디에이지를 통해 헬스케어 사업 다각화에 노력 중이다.

모아데이타가 만든 이상탐지 예측 및 종합 분석 시스템 '페타온 포캐스터'는 AI 이상탐지와 예측 분석을 통해 원인을 파악하는 구조로 기술을 제공한다. 해당 시스템은 운영 중인 ICT 인프라에서 수집된 다양한 지표와 로그 수집을 통해 빅데이터 저장 장치에 저장 후, 인공지능 엔진을 거쳐 장애 예측과 원인 분석 서비스를 진행한다. 또한 건강 라이프 로그 분석을 통한 개인 맞춤형 헬스케어 서비스 '플로핏'은 생물학적 나이를 측정하고, 질병과 암 위험성을 분석하며, 개인별 영양관리와 비상 감지 및 경고 기능으로 개인 건강을 관리해준다.

최근 2023년 3월 당사는 스마트팩토리 전문기업 티라유텍과 함께 업무협약 MOU를 맺어 신규 기능에 대한 연구개발을 논의하고 있다. AI 기반의 협력체계를 구축해 관련 솔루션의 운영 성능이 고도화 될 것으로 예측된다."
지란지교시큐리티,#재무평가_상위1%,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/M21443.jpg,,"3,708만원","5,373만원","경기 성남시 수정구 금토로80번길 37, 4층 (금토동,인피니티타워) 지도",145명,http://www.jiransecurity.com/,중소기업,225억,341억,"지란지교시큐리티는 2014년 지란지교소프트 보안사업부에서 분사하여 설립된 보안 소프트웨어 전문기업이다. 메일, 문서, 모바일 보안 및 악성 위협대응을 중심으로 고객의 정보자산을 보호하는 솔루션 및 서비스 제공 사업을 영위하고 있다. 2016년에는 코스닥 시장에 상장했으며, 2020~2022년간 강소기업으로 선정되었다.

주요 제품군으로는 스팸차단 솔루션, 콘텐츠보안(문서중앙화/보안웹파일서버), 모바일보안(통합모바일보안 솔루션)이 있다. 특히 이메일 통합 보안 솔루션 '스팸스나이퍼'와 문서중앙화 솔루션 '다큐원', 엔터프라이즈 모바일 통합 솔루션 '모바일키퍼' 등은 각 분야별 점유율 1위를 기록하며 업계의 선두주자로 자리매김하고 있다. 이외에 첨부파일 악성코드 대응(CDR) 솔루션 '새니톡스', 악성 이메일 모의훈련 솔루션 '머드픽스' 역시 성장세를 보이고 있다.

지란지교시큐리티는 2022년 의정부 시청 대민 시스템에 '새니톡스'를 구축하며 공공시장으로의 진출을 확대했다. 또한, 2023년에는 AI 기반 디지털 트랜스포메이션 기업 직스테크놀로지와 각자의 대표 상품인 '다큐원'과 '직스캐드' 의 기술 협력을 전개해 제품 호환성 향상과 국산 대안 캐드 수요 충족을 위해 지속적인 협력 관계를 이어나간다는 업무 협약을 체결했다."
슈퍼캣,#캐치추천,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/HO6990.jpg,,"3,428만원","4,499만원",경기 성남시 분당구 분당로 55 지도,302명,https://www.supercat.co.kr/,중소기업,220억,215억,"누군가의 인생 게임을 만드는 곳, 슈퍼캣입니다.

슈퍼캣은 2016년 4월 설립된 이래 사람들을 연결하고, 새로운 경험을 선사하기 위해 다양한 게임을 개발하고 있습니다.

도트 기반의 캐쥬얼 RPG인 ""바람의나라: 연""을 개발하여 유저들에게 추억을 선사하고 있으며, 넥슨과 퍼블리싱 계약을 체결하여 차별화된 강렬함을 줄 수 있는 차기작 ""바람의나라2""를 개발하고 있습니다.

또한 코딩없이 P2E, NFT 게임을 제작할 수 있는 Web 3.0 게임 플랫폼 ""펑크랜드""를 서비스하고 있습니다.

슈퍼캣은 다양한 사업적 시도와 함께 급성장을 거듭하고 있습니다. 4명 규모로 출범한 슈퍼캣은 현재 100배 성장을 앞두고 있습니다."
와디즈파이낸스,#핫스타트업,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/HOT040.jpg,,,,"경기 성남시 분당구 판교로 242, A동 4층 402호 지도",216명,https://www.wadiz.kr/,중소기업,-,,"와디즈는 2012년 설립된 국내 크라우딩 플랫폼 기업이다. 리워드형 크라우드 펀딩으로 사업을 시작해 2016년 증권형 크라우드 펀딩으로 영역을 확대했으며, 약 8년 만에 누적 펀딩 중개금액 5200억 원(2021년 6월 기준)이라는 성과를 냈다. 현재는 IT 기기, 먹거리, 반려동물 상품, 디자인용품, 사회적 캠페인 등 다양한 영역의 투자상품을 운용중이며 위쿡, 스파크플러스와 MOU를 체결해 사업 영역을 확장했다. 최근 리워드형 크라우드 펀딩과 투자형 크라우드 펀딩을 법인 분리하며(와디즈파이낸스, 와디즈파트너스, 와디즈플랫폼), 스타트업의 전 성장 과정을 지원하는 플랫폼으로의 진화를 선언했다. 그뿐만 아니라 와디즈파이낸스에서는 투자형 크라우드 펀딩을 비롯한 생산 자금 대출 서비스를 지원한다. 그중 더 성장 가능성이 보이는 스타트업의 경우 와디즈파트너스가 벤처캐피탈(VC)로 나서 직접 투자도 주도할 계획이다.

당사는 2021년 7월 캐릭터 및 브랜드의 IP 제품화 사업을 지원하는 '팬즈메이커'를 선보이고, 같은 해 9월에는 스타트업과 중소기업의 펀딩 방식 제품 판매를 지원하는 '와디즈스토어'를 출범시키며 영향력을 넓혔다. 2021년 11월 기준 월평균 펀딩 프로젝트 개설 건수 1천 건을 달성한 와디즈는 2022년 하반기 상장을 목표로 사업별 전문화 및 사업 영역 확장에 주력하고 있다."
마이다스인,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/JZ5422.jpg,,"4,206만원","5,303만원","경기 성남시 분당구 판교로228번길 17, 마이다스아이티동 지도",140명,http://www.midashri.com/,중견기업,219억,,"2020년에 설립된 마이다스인은 마이다스아이티의 계열사이며 응용 소프트웨어 개발 및 공급업을 영위하는 기업이다. 마이다스인 AI 역량검사는 기존 채용 방식이 갖는 문제점을 해결하고 인재 선발 효율성을 높이기 위해 기획되었으며 현재 500여개 기업에서 활용하고 있다. 뇌신경과학을 기반으로 역량을 정의하고 분류해 인재 세부 역량을 확인한다는 점이 다른 솔루션과 차별화된 강점이다.

또한 ‘inHR’은 마이다스인이 개발한 상시 성과관리 기반 인사평가 솔루션으로, LS그룹, 현대해상, 한국전파통신진흥원 등을 비롯해 누적 고객사 320개사를 돌파했다. 별도 구축 과정 없이 바로 사용할 수 있으며, 지속적으로 변화하는 평가체계 (MBO, KPI, OKR 등) 에 유연하게 적용할 수 있는 것이 큰 강점으로 꼽히고 있다. 현재 솔루션 플랫폼 ‘JOBFLEX’와 함께 성과관리-인사평가 솔루션 ’inHR’은 맞춤형 역량/평가 가이드, 다면평가, 수시 피드백 기능으로 구성원들의 성장을 이끄는 성과관리 및 공정한 기업 인사평가로 적용되고 있다.

최근 마이다스인은 고객사 평가체계 분석 및 표준화를 통한 표준 성과관리와 인사평가 체계 가이드를 마련했으며, 이를 통해 앞으로 평가체계가 없는 중소기업을 위한 표준 인사제도 수립 가이드를 제공할 것이라고 밝혔다."
엔키아,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/171627.jpg,,"4,840만원",,"경기 성남시 분당구 대왕판교로 660, B동 10층 (삼평동,유스페이스1) 지도",174명,http://www.nkia.co.kr/,중소기업,204억,,"엔키아는 1999년에 설립되어 2000년 9월에 정부로부터 벤처 인증을 획득했고, 소프트웨어 개발 및 부가 통신 사업을 영위하고 있다. 당사의 솔루션은 IT 서비스를 구성하고 있는 소프트웨어와 하드웨어, 네트워크 등의 인프라를 실시간으로 모니터링 하며, IT 서비스가 시작부터 끝까지 중단되지 않도록 성능을 파악하는 역할을 하고 있다. 더불어 정부의 클라우드 서비스를 운영하는 솔루션인 클라우드 운영관리 솔루션, ITIL 기반의 ITSM 솔루션을 비롯하여 IT서비스 운영 및 관리를 위해 필요한 핵심 솔루션을 개발하고 있다.

엔키아의 제품과 서비스로는 EMS 솔루션, 통합관리 솔루션, 자동화 솔루션, ITG 솔루션, 컨설팅 서비스, IoT 플랫폼이 있다. 먼저 EMS 솔루션은 IT 서비스에 대한 운영/관리 솔루션으로, 서버관리, 네트워크, 데이터베이스, WAS(어플리케이션 서비스), 전산설비관리, 가상화시스템관리로 이루어져 있다. 한편 자동화 솔루션에는 ITSM(IT 서비스관리)과 ITAM(IT 자산관리)이 있는데, IT 서비스 운영을 위한 주기적/반복적 업무를 자동적으로 수행하는 운영관리 솔루션을 제공한다. 이외에도 엔키아의 사업 부문들은 IT 서비스 모니터링, IT 자산 및 서비스 운영 관리, 시각화/대시보드 제공 등의 서비스를 지원하고 있다.

2022년 12월에는 엔키아가 '2022년 글로벌 SaaS 육성 프로젝트 우수 과제'로 선정되어 과학기술정보통신부장관상을 수상했다. 엔키아는 본 프로젝트에서 POLESTAR EMS를 SaaS화 해서 개발하고, 클라우드서비스품질인증위원회와 국제화시험 인증을 획득한 바 있다. 또한 2023년 1월에는 클라우드 플랫폼 기업인 '오케스트로'와 함께 클라우드 및 AI를 통한 IT 운영관리, AI옵스(AIOps) 사업 추진을 위한 업무협약을 체결했다."
네이버아이앤에스,"#재무평가_상위10%, #주요계열사",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/C80086.jpg,포털·플랫폼,"4,040만원","5,650만원","경기 성남시 분당구 정자일로 95, 17층 지도",118명,http://www.naverins.com/,대기업,195억,,"2009년에 설립된 네이버아이앤에스는 네이버의 전사 공통 인프라 서비스의 가치 극대화 및 전문화를 위해 경영지원 기능을 분할하여 출범하였다. 네이버아이앤에스는 정보시스템(경영지원, 교육, 인사, 총무, 재무) 운영을 비롯해 포털 및 인터넷 정보 매개 서비스를 제공한다. 주요 자회사로는 NTS(디자인·개발·테스트·인프라 운영·보안관제), 컴파트너스(고객센터·쇼핑 서비스 운영), 그린웹서비스(포털 광고·콘텐츠·커뮤니티·검색 운영), 인컴즈(고객센터·포털·지식쇼핑 서비스 운영) 등이 있다.

네이버아이앤에스는 네이버 및 관계사를 고객으로 하여 차별화된 업무환경 및 직원서비스를 통합적으로 제공하고 있으며 고객사에 없는 Staff 기능들을 단독 수행함으로써 전사 공통 경영지원 인프라로서의 역할을 담당하고 있다. 전사 공통 경영지원 서비스(Shared Service)는 급변하는 IT 산업 환경과 네이버 및 관계사의 지속적인 성장에 따라 분사, 인수, 합병 등 법인 변동 및 사업장 확장에 효율적으로 대응하기 위한 전사적 경영지원 통합 인프라 서비스다. 네이버의 경영철학과 기업문화에 기반해 각 분야별 전문 서비스를 제공함으로써 임직원들이 비즈니스에 집중할 수 있는 최상의 환경을 신속하게 구축하고 안정적으로 운영한다. 이를 통해 각 회사는 네이버 및 관계사 공통의 문화와 서비스 가치를 공유하며 최소한의 인력으로 효율적으로 비즈니스를 수행할 수 있는 기반을 마련하고 있다."
투비웨이,#재무평가_상위2%,https://imgorg.catch.co.kr/job/site/tmp02.gif,,"3,154만원","4,325만원","경기 성남시 분당구 판교역로 230, B동 902호 (삼평동,삼환하이펙스) 지도",99명,http://www.tobeway.com/,중소기업,189억,,"2001년 설립된 투비웨이는 엔터프라이즈 데이터 관리에 필수적인 고도화된 솔루션과 서비스를 제공하는 IT솔루션기업이다. 비즈니스의 디지털 변환을 촉진하고 효율성을 높이는 사업을 영위한다. 기업의 복잡한 데이터 요구 사항을 해결하기 위해 지속적으로 연구하고, 최신 기술을 통합하기 위한 연구를 거듭하고 있다.

투비웨이는 주요사업으로 데이터 솔루션과 컨설팅 사업, RPA자동화, RPA플랫폼, 클라우드 등을 영위하고 있다. 투비웨이는 효과적인 데이터 관리를 위한 소프트웨어 솔루션과 전문 컨설팅을 통해, 기업이 데이터를 기반으로 업무를 볼 수 있게 한다. 특히 데이터 관리 플랫폼을 운영하며 체계적 접근으로 데이터의 투명성과 신뢰성을 보장하며, 고객사가 시장 동향에 빠르게 대응하고 경쟁 우위를 확보하고자 노력하고 있다.

투비웨이는 2023년 11월 로그 분석의 선두주자인 SUMO Logic과의 Reseller 파트너 계약을 체결했다. 이번 파트너십을 통해 투비웨이는 한국 시장에서 SUMO Logic의 로그 분석 솔루션을 판매 및 지원할 수 있는 권한을 부여받았다. 이를 통해 데이터 중심의 비즈니스 환경에서 점점 더 중요해지는 데이터 보안과 인사이트 추출에 활용할 계획이다."
넵튠,"#캐치추천, #주요계열사",https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/EJ7492.jpg,게임,"7,400만원",,"경기 성남시 분당구 황새울로 246, 9층 (수내동,도담빌딩) 지도",106명,http://www.neptunegames.co.kr/,대기업,182억,997억,"2012년에 설립된 넵튠은 캐쥬얼 게임을 시작으로 소셜카지노, MOBA, 퍼즐, 디펜스까지 다양한 장르를 담아내었으며, e스포츠, MCN, 블록체인, 메타버스까지 사업영역을 확대하고 있는 모바일 게임 전문 개발사이다. 모바일 게임 개발에 주력하고 있으며 야구 시뮬레이션 시리즈, 탄탄사천성 시리즈 등을 개발했다. 최근에는 자회사 님블뉴런이 개발한 온라인 게임 '이터널 리턴'이 카카오게임즈를 통해 다음게임 서비스를 시작했다.

넵튠은 자사가 서비스하고, 블록체인 게임사인 '나부스튜디오'가 개발한 스포츠 승부 예측 서비스인 ‘따다(DDADA)’를 출시할 예정이다. ‘따다’는 야구, 축구, 농구, 배구, 아이스하키 종목의 국내 및 전세계 프로 리그를 대상으로 한다. 모바일 전용 서비스인 만큼 높은 이용자 접근성을 확보할 수 있는 강점이 있다고 넵튠은 밝혔다. 당사는 향후 실시간 스포츠 정보 API를 기반으로 정확하고 신속한 경기 정보 및 결과를 제공할 예정이다."
그립컴퍼니,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/A0860.jpg,,"3,250만원","4,971만원","경기 성남시 분당구 판교역로 152, 11층 지도",130명,http://grip.show/,중소기업,182억,182억,"그립컴퍼니는 2018년에 설립된 라이브 커머스 플랫폼이다. 그립컴퍼니는 실시간 스트리밍으로 판매자와 소비자가 쌍방향으로 소통하는 방식으로 운영되는 '그립' 플랫폼 서비스와 B2B 라이브 커머스 SaaS 솔루션 '그립클라우드'를 운영하고 있다. 또한, 자사몰에서 라이브 방송을 송출해 고객과 소통하고 상품 판매가 가능한 솔루션 '그립클라우드'는 국내의 SSG.COM, 신세계 인터내셔날, 삼성물산 등 30여 개의 기업이 사용하고 있다.

그립컴퍼니는 2021년 카카오의 1,800억 원의 투자를 받으며 인수되었으며, 2022년에는 카카오와 첫 협업을 통해 업계 최초 위치기반 서비스인 '우리동네 라이브'를 오픈하기도 했다. 당사는 2022년 전년 대비 2배 이상 증가한 2,000억 원 거래액을 달성하였으며 현재 누적거래액 4,600억 원을 달성하는 등 빠른 성장세를 보이고 있다.

그립컴퍼니는 글로벌 진출도 적극적으로 추진 중이다. 당사는 일본에 '그립클라우드' 솔루션 공급하였고, 미국에서는 '그립' 웹사이트로 시장에 진출하였으며, '그립'의 글로벌 통합 모바일앱 서비스 론칭을 예정하고 있다. 당사는 미국과 일본에 플랫폼의 본격적 진출과 동남아 시장 진출을 모색하고 있다."
디토닉,#핫스타트업,https://imgorg.catch.co.kr/job/site/tmp02.gif,,"3,541만원","4,525만원","경기 성남시 분당구 서현로 200, 7층 (서현동,에스디바이오센서(주)분당빌딩) 지도",58명,http://www.dtonic.io/,중소기업,181억,,"디토닉은 2014년 현대자동차 사내 벤처에서 분사해 설립된 시공간 빅데이터 및 AI 데이터 플랫폼 전문 기업이다. 빅데이터 처리 가속화와 SMART-X 산업 전반에 걸쳐 데이터 변환 및 활용을 지원하는 스마트 데이터 인프라 소프트웨어 솔루션을 제공하고 있다. 2024년에는 아시아 최초로 열린 ‘사우스서밋(South Summit)’ 스타트업 행사에서 최고의 혁신기술 스타트업에게 주어지는 ‘글로벌 위너(Global Winner)’를 수상하며 기술력을 인정받았다.

디토닉은 시공간 빅데이터 부스팅 엔진 ‘지오 하이커(geo-hiker)’를 보유하고 있으며, 이를 통해 고효율 빅데이터 처리와 다양한 데이터 운영 솔루션을 제공하고 있다. ‘D.EView’는 제품 정보, 가격, 재고 현황 등의 데이터를 전자가격표시기(ESL) 등 디스플레이 장치에 표시하는 지능형 디스플레이 플랫폼이다. ‘디허브(D.Hub)’는 데이터 관리 및 연결을 위한 플랫폼이며, ‘D.엣지(D.Edge)’는 엣지 컴퓨팅 기반으로 다양한 도메인에서 생성되는 고속·대용량 데이터를 수집하고 분석하는 플랫폼이다.

COVID-19 시기, 디토닉은 지오하이커를 활용해 기존에 48시간이 소요되던 역학조사를 5분 내로 단축시키며 기술력을 입증했다. 2023년에는 기술신용평가(TCB) 1등급을 획득했으며, 2024년에는 과학기술정보통신부의 우수기업연구소에 선정되어 기술 경쟁력을 공식적으로 인정받았다.

디토닉은 미국, UAE, 베트남 등 해외 법인을 설립하며 글로벌 시장 진출에도 박차를 가하고 있다. 또한 2024년에는 한국환경공단의 ‘무공해차 통합누리집 빅데이터 플랫폼 구축 2단계’ 사업에 선정되어 무공해차 정보 접근성을 높이고 친환경차 확산에 기여하고 있다."
위메이드넥스트,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/HN1104.jpg,,"5,826만원",,"경기 성남시 분당구 대왕판교로644번길 49, 9층 지도",185명,http://www.wemadenext.com/,중소기업,172억,,"2016년에 설립된 위메이드넥스트는 위메이드의 자회사인 온라인 및 모바일 게임 소프트웨어 개발업체이다. 당사가 개발한 주요 게임으로는 지난 2020년에 자체개발한 모바일 MMORPG(다중접속역할수행게임) '미르4'가 대표적이다. 미르4는 사전예약에 350만 명이 몰리는 등 출시 전부터 큰 주목을 받았다.

2021년에는 위믹스 플랫폼 위에 탑재된 첫 대규모 MMORPG 블록체인 게임인 ‘미르4’ 글로벌 버전을 출시했으며 167개의 글로벌 서버를 확장하는 등 흥행을 이끌어냈다. ‘미르4’ 글로벌 버전은 블록체인 기술을 적용한 것이 특징이며 유틸리티 코인 ‘드레이코’를 탑재해 게임 내 재화 ‘흑철’을 가상자산으로 전환할 수 있다. 또한 게임 캐릭터도 NFT(대체불가토큰) 기술을 적용해 거래할 수 있도록 구성했다.

위메이드넥스트는 모션 캡쳐, 페이셜캡쳐, 3D 스캔 등을 통해 생생한 표정으로 캐릭터의 감정을 표현하고, 전문 모션 캡쳐 배우들과 함께 사실감 넘치는 액션을 게임으로 옮겼다. 당사는 앞으로도 생생함과 몰입감을 위한 다양한 기술 개발에 주력할 계획이다."
이에스이,,https://board.jinhak.com/BoardV1/Upload/Job/Company/CI/175359.jpg,,"4,418만원",,"경기 성남시 분당구 판교로228번길 15, 3동 501호 (삼평동,판교세븐벤처밸리1단지) 지도",84명,http://www.eseict.com/,중소기업,170억,,"2000년 설립된 이에스이는 도로, 철도, 항만, 도시, SOC 건설 정보화의 시스템 구축 및 개발, 데이터 통합 등을 영위하는 기업이다. 당사는 대표적으로 스마트센터 통합플랫폼 패키지 소프트웨어 ‘리노(RINO)’를 개발해 판매 및 커스터마이징을 제공한다.

이에스이의 리노(RINO) 플랫폼은 스마트시티, 방범, 교통, 재난, 항공, 발전, IOT 시설, 스마트팩토리 등 관제, 상황분석, 정보통합, 제어가 필요한 다양한 분야에 적용되고 있다. 특히 리노 스마트센터 플랫폼 ‘SOS’의 핵심 서비스는 플랫폼 공통 서비스와 리노 Alliance 3rd Party 솔루션 서비스로 구성된다. Alliance 3rd Party 솔루션 서비스는 센서, 디바이스, 통신, 네트워크, 서버, 저장장치, 디스플레이, 단위 시스템(써드파티 솔루션) 등 스마트 서비스 운영에 필요한 개별 서비스다. Alliance 3rd Party 솔루션은 스마트 서비스 운영을 위해 신규 시스템(솔루션) 개발에 소요되는 시간과 비용을 절감할 수 있다.

이에스이는 2024년 3월 물리보안과 사이버보안을 아우르는 국내 최대 통합보안 전시회인 제23회 세계보안엑스포 & 제12회 전자정부 정보보호 솔루션 페어(SECON & eGISEC 2024)에 참여하였다. 비디오월, 소방방재 솔루션 및 도난방지 솔루션 , 스마트 시티 솔루션 등을 전시하였고 디지털 쇼룸에도 참여하여 솔루션을 고객들에게 선보였다."
